1,Broodjes en wraps,,Met salade en saus,1,1,,
2,Voorgerechten,,1 stuk is iets langer dan 1 meter,2,2,,
3,Kapsalon,,Keuze uit Turkse rijst of patat. Met salade en saus,3,3,,
4,Stoofpot,,Keuze uit patat of Turkse rijst. Met salade en saus,4,4,,
5,Pide's,,"Turkse pide ongeveer 1 meter lang, per stuk",5,5,,
6,Dürüm wraps,,Met salade en saus,6,6,,
7,Schotels,,"Keuze uit patat of Turkse rijst, pitabroodje, salade en saus",7,7,,
8,Soepen,,,8,8,,
9,Snacks,,,9,9,,
10,Zoetigheid,,,10,10,,
11,Sauzen,,,11,11,,
12,Frisdranken,,,12,12,,
